case_id,fault,layer,concept,severity,symptom,expected_fault,python_finding
C01,Duplicate IP,Layer 3,IPv4 Addressing,High,"Two endpoints are configured with the same IPv4 address, causing ambiguous or unreliable communication.",Duplicate IP address,Duplicate IP detected: 192.168.10.10 is assigned to more than one endpoint.
C02,Wrong Subnet Mask,Layer 3,IPv4 Subnetting,Medium,PC2 uses an incorrect subnet mask compared with the intended /24 LAN configuration.,Wrong subnet mask,Subnet mask mismatch detected on PC2: expected 255.255.255.0.
C03,Gateway Mismatch,Layer 3,Default Gateway,High,PC2 is configured with a default gateway that does not match the actual router LAN interface.,Default gateway mismatch,Gateway mismatch: configured 192.168.10.254; expected 192.168.10.1.
C04,Interface Down,Layer 1/2 impact,Interface Status,High,The router interface connecting the LAN is administratively shut down.,Interface administratively down,Interface state rule: GigabitEthernet0/0 is administratively down.
C05,Missing VLAN,Layer 2,VLAN,High,"Required VLAN 10 is absent from the switch VLAN database, disrupting the intended access network.",VLAN 10 missing,Required VLAN 10 not found in switch VLAN table.
C06,Missing Route,Layer 3,Static Routing,High,"PC1 cannot reach the remote LAN behind R2, while the router-to-router link remains reachable.",R1 missing route to 192.168.20.0/24,Missing route detected on R1: 192.168.20.0/24 via 10.0.0.2.
C07,DHCP Misconfiguration,Layer 3/7,DHCP,High,Clients receive a DHCP configuration with an incorrect default gateway.,DHCP pool default gateway incorrect,DHCP rule mismatch: expected default-router 192.168.10.1.
C08,DNS Misconfiguration,Layer 7,DNS,Medium,"Direct IP connectivity to the server works, but hostname resolution fails.",Incorrect DNS server configured on client,DNS server mismatch: configured 192.168.10.254; expected 192.168.10.100.
C09,ACL Blocking Traffic,Layer 3,Access Control List,High,ICMP traffic from PC1 to Server1 is blocked while other traffic remains permitted.,ACL 101 denies ICMP from PC1 to Server1,ACL rule match: deny ICMP host 192.168.10.10 to host 192.168.10.100.
C10,NAT Misconfiguration,Layer 3,NAT/PAT,High,Inside clients cannot reach the external test network because NAT selection is incorrect.,NAT ACL permits wrong inside network,NAT source rule mismatch: expected 192.168.10.0/24 to be selected for translation.
